Date,Online,Paper forms
12 Dec 2019,58578,1380
11 Dec 2019,31907,888
10 Dec 2019,14673,1292
9 Dec 2019,14194,1070
8 Dec 2019,8227,10
7 Dec 2019,6903,119
6 Dec 2019,8264,1348
5 Dec 2019,9642,973
4 Dec 2019,9523,1997
3 Dec 2019,9222,3080
2 Dec 2019,9445,2173
1 Dec 2019,7684,52
30 Nov 2019,7571,776
29 Nov 2019,10708,2991
28 Nov 2019,17933,3887
27 Nov 2019,41415,5556
26 Nov 2019,640815,18851
25 Nov 2019,351257,15186
24 Nov 2019,107398,1272
23 Nov 2019,107170,2910
22 Nov 2019,297757,10208
21 Nov 2019,107889,13463
20 Nov 2019,115521,13123
19 Nov 2019,132393,15126
18 Nov 2019,100052,12176
17 Nov 2019,74306,1923
16 Nov 2019,55360,3373
15 Nov 2019,69253,11301
14 Nov 2019,83732,13901
13 Nov 2019,87439,15654
12 Nov 2019,139718,17798
11 Nov 2019,64993,14483
10 Nov 2019,48305,3044
9 Nov 2019,38493,4752
8 Nov 2019,51841,12911
7 Nov 2019,73436,14549
6 Nov 2019,72789,12113
5 Nov 2019,69399,13690
4 Nov 2019,73282,13722
3 Nov 2019,55971,7548
2 Nov 2019,49873,2525
1 Nov 2019,79835,12387
31 Oct 2019,96477,11849
30 Oct 2019,164610,12495
29 Oct 2019,122663,16499
28 Oct 2019,30949,15728
27 Oct 2019,16543,281
26 Oct 2019,14831,439
25 Oct 2019,20902,13100
24 Oct 2019,27754,16520
23 Oct 2019,23061,17170
22 Oct 2019,21397,14724
21 Oct 2019,21439,20196
20 Oct 2019,14767,12
19 Oct 2019,14689,1243
18 Oct 2019,15487,14720
17 Oct 2019,18348,19477
16 Oct 2019,19028,16256
15 Oct 2019,20095,17235
14 Oct 2019,23124,17965
13 Oct 2019,13584,942
12 Oct 2019,11400,586
11 Oct 2019,13287,16364
10 Oct 2019,18857,16740
9 Oct 2019,18707,18630
8 Oct 2019,20951,16567
7 Oct 2019,22667,18897
6 Oct 2019,16500,43
5 Oct 2019,14424,562
4 Oct 2019,14606,14803
3 Oct 2019,19131,15706
2 Oct 2019,20754,17674
1 Oct 2019,21446,19873
30 Sep 2019,22640,19868
29 Sep 2019,17617,351
28 Sep 2019,15240,386
27 Sep 2019,19412,14297
26 Sep 2019,23123,20405
25 Sep 2019,25768,16884
24 Sep 2019,26817,18645
23 Sep 2019,25974,17509
22 Sep 2019,17758,506
21 Sep 2019,14551,790
20 Sep 2019,18855,14676
19 Sep 2019,22106,16518
18 Sep 2019,23150,15245
17 Sep 2019,25214,16909
16 Sep 2019,26939,15660
15 Sep 2019,17347,152
14 Sep 2019,16183,966
13 Sep 2019,19150,16252
12 Sep 2019,26865,15399
11 Sep 2019,28654,16731
10 Sep 2019,29915,14568
9 Sep 2019,35506,11974
8 Sep 2019,29222,40
7 Sep 2019,31546,666
6 Sep 2019,44268,11933
5 Sep 2019,48516,14514
4 Sep 2019,69584,14019
