Date,Under 25,25 to 34,35 to 44,45 to 54,55 to 64,65 to 74,Over 75
12 Dec 2019,18745,21481,11528,5294,2042,603,264
11 Dec 2019,9501,11975,6438,3069,1240,379,188
10 Dec 2019,3587,5695,3496,1849,890,294,154
9 Dec 2019,3386,5185,3547,1815,883,306,142
8 Dec 2019,1832,2980,1854,945,454,119,53
7 Dec 2019,1689,2459,1513,838,368,106,49
6 Dec 2019,2197,3058,2096,1305,591,214,151
5 Dec 2019,2473,3480,2301,1355,656,226,124
4 Dec 2019,2789,3627,2476,1412,759,269,188
3 Dec 2019,2990,3793,2574,1574,833,323,215
2 Dec 2019,2882,3650,2351,1411,794,319,211
1 Dec 2019,2100,2646,1638,846,358,100,47
30 Nov 2019,2391,2798,1615,934,374,146,89
29 Nov 2019,3958,4132,2659,1545,814,358,231
28 Nov 2019,6662,6783,4068,2352,1191,454,310
27 Nov 2019,15996,15507,8027,4189,2158,694,400
26 Nov 2019,252444,207224,98823,57146,29420,9959,4645
25 Nov 2019,150110,114196,51414,28436,14599,5081,2605
24 Nov 2019,45745,34066,14323,8055,4357,1450,672
23 Nov 2019,43660,34479,15609,8991,4818,1721,802
22 Nov 2019,102768,103243,53107,28548,13778,4697,1824
21 Nov 2019,45352,35966,17243,10990,6866,3164,1771
20 Nov 2019,47132,37636,18316,12025,7768,3780,1986
19 Nov 2019,54192,43628,21455,13536,8638,4098,1968
18 Nov 2019,41131,33590,15989,10191,6408,3147,1771
17 Nov 2019,30768,24395,10213,5745,3206,1291,610
16 Nov 2019,21108,17808,9012,5443,3224,1432,705
15 Nov 2019,26652,22726,12605,8501,5527,2912,1631
14 Nov 2019,31686,27677,15457,10553,6888,3595,1774
13 Nov 2019,34500,29930,15786,10452,6864,3627,1931
12 Nov 2019,67320,43040,21176,12306,7837,3878,1958
11 Nov 2019,28005,22473,12122,7850,4941,2589,1496
10 Nov 2019,22366,14091,6755,4146,2429,1015,547
9 Nov 2019,15877,12940,6557,3909,2323,1097,541
8 Nov 2019,22364,17653,9869,6689,4363,2417,1397
7 Nov 2019,30342,24570,13493,8887,5904,3097,1691
6 Nov 2019,28986,24589,13165,8453,5469,2741,1498
5 Nov 2019,28889,23207,12501,8348,5527,3036,1580
4 Nov 2019,30114,25279,13212,8436,5549,2866,1548
3 Nov 2019,25982,18499,8952,5118,2983,1369,616
2 Nov 2019,18540,16287,8226,4755,2784,1252,554
1 Nov 2019,27308,28249,15308,9928,6392,3431,1606
31 Oct 2019,34688,33481,16464,10833,7347,3756,1757
